Title,Authors,Research Area
Evaluation of User-Subjective Web Interface Similarity with Kansei Engineering-Based ANN,"
                        Maxim Bakaev, Sebastian Heil, Vladimir Khvorostov, Martin Gaedke
                    ",Web Engineering
Web Migration - A Survey Considering the SME Perspective,"
                        Sebastian Heil, Martin Gaedke
                    ",Web Engineering
Web Intelligence Linked Open Data for Website Design Reuse,"
                        Maxim Bakaev, Vladimir Khvorostov, Sebastian Heil, Martin Gaedke
                    ",Web Engineering
Utilizing Linked Data Structures for Social-aware Search Applications,"
                        André Langer, Michael Krug, Luis Moreno, Martin Gaedke
                    ",Intelligent Information Management
Intelligent End User Development Platform Towards Enhanced Decision-Making,"
                        Bahareh Zarei, Martin Gaedke 
                    ",Service Infrastructures
A Discrete Event Simulation for Hierarchical Mobile IPv6,"
                        Mahda Noura, Iftekhar Ahmad, Amin Noura, Rosdiadee Nordin
                    ",Web Engineering
Process Learning Environments,"
                        Eduard Daoud
                    ",Web Engineering
Value-Sensitive Design in Hyper-Connected Societies,"
                        Markus Ast
                    ",Web Engineering
"Context-aware Collaboration of Humans, Services, and Things","
                        Markus Ast
                    ",Web Engineering
Towards Reputation-Aware Expert Finding with Linked Open Data,"
                        Sebastian Heil, Stefan Wild, Michael Krug, Martin Gaedke
                    ",Web Engineering
Measuring and Ensuring Similarity of User Interfaces: the Impact of Web Layout,"
                        Sebastian Heil, Maxim Bakaev, Martin Gaedke
                    ",Web Engineering
KESeDa: Knowledge Extraction from Heterogeneous Semi-Structured Data Sources,"
                        Martin Seidel, Michael Krug, Frank Burian, Martin Gaedke
                    ",Intelligent Information Management
FAME.Q - A formal approach to master quality in Enterprise Linked Data,"
                        André Langer, Martin Gaedke
                    ",Intelligent Information Management
Linguistic Rule-Based Methods for the Extraction of Medical Summaries to Benefit Patients Progression Tracking,"
                        Nurfadhlina Mohd Sharef, Mahda Noura
                    ",Web Engineering
A Survey on Interference Management for Device-to-Device (D2D) Communication and its Challenges in 5G Networks,"
                        Mahda Noura, Rosdiadee Nordin
                    ",Web Engineering
Kansei Engineering Experimental Research with University Websites,"
                        Maxim Bakaev, Martin Gaedke, Sebastian Heil
                    ",Web Engineering
CloudLinkSync: URI-basierte Adressierung lokaler Kopien von Cloud-Ressourcen,"
                        Frank Burian
                    ",Web Engineering
AttributeLinking: Exploiting Attributes for Inter-Component Communication,"
                        Michael Krug, Martin Gaedke
                    ",Web Engineering
Towards Handling Constraint Network Conditions between WoT Entities using Conflict-free Anti-Entropy Communication,"
                        Markus Ast, Martin Gaedke
                    ",Web Engineering
Incremental DOM for Web Components,"
                        Markus Ast
                    ",Web Engineering
Extending Kansei Engineering for Requirements  Consideration in Web Interaction Design,"
                        Maxim Bakaev, Martin Gaedke, Vladimir Khvorostov, Sebastian Heil
                    ",Web Engineering
Distributed Event-based Communication for Web Components,"
                        Michael Krug
                    ",Web Engineering
AWSM Agile Web Migration for SMEs,"
                        Sebastian Heil, Martin Gaedke
                    ",Web Engineering
COP: Improving Collaboration in e-Health Utilizing the Cloud,"
                        Fabian Wiedemann
                    ",Web Engineering
SmartComposition: Extending Web Applications to Multi-screen Mashups,"
                        Michael Krug, Fabian Wiedemann, Martin Gaedke
                    ",Web Engineering
Systematic Composition of Web-based Applications with Focus on Security,"
                        Anna Scholtz, Stefan Wild, Martin Gaedke
                    ",Web Engineering
SmartComposition: Bringing Component-Based Software Engineering to the Web,"
                        Michael Krug, Martin Gaedke
                    ",Web Engineering
From TMR to Turtle: Predicting Result Relevance from Mouse Cursor Interactions in Web Search,"
                        Maximilian Speicher, Sebastian Nuck, Lars Wesemann, Andreas Both, Martin Gaedke
                    ",Web Engineering
Scope-Aware Delegations in Distributed Social Networks,"
                        Anna Scholtz, Stefan Wild, Martin Gaedke
                    ",Web Engineering
Supporting the Developmentof Team-Climate-Aware Collaborative Web Applications,"
                        Sebastian Heil, Marco Drechsel, Martin Gaedke
                    ",Web Engineering
Conflict Resolution in Collaborative User Interface Mashups,"
                        Michael Hertel, Alexey Tschudnowsky, Martin Gaedke
                    ",Web Engineering
Loop Discovery in Publish-Subscribe-Based User Interface Mashups,"
                        Alexey Tschudnowsky, Martin Gaedke
                    ",Web Engineering
SmartComposition: Enhanced Web Components for a Better Future of Web Development,"
                        Michael Krug, Martin Gaedke
                    ",Web Engineering
What is Usability? A Characterization based on ISO 9241-11 and ISO/IEC 25010,"
                        Maximilian Speicher
                    ",Web Engineering
INUIT: The Interface Usability Instrument,"
                        Maximilian Speicher, Andreas Both, Martin Gaedke
                    ",Web Engineering
S.O.S.: Does Your Search Engine Results Page (SERP) Need Help?,"
                        Maximilian Speicher, Andreas Both, Martin Gaedke
                    ",Web Engineering
NeLMeS: Finding the Best Based on the People Available Leveraging the Crowd,"
                        Fabian Wiedemann, Ralph Sontag, Martin Gaedke
                    ",Web Engineering
Secure Storing of e-Health Records in the Cloud,"
                        Fabian Wiedemann, Martin Gaedke
                    ",Web Engineering
"ProProtect3: An Approach for Protecting User Profile Data from Disclosure, Tampering, and Improper Use in the Context of WebID","
                        Stefan Wild, Fabian Wiedemann, Sebastian Heil, Alexey Tschudnowsky, Martin Gaedke
                    ",Web Engineering
Privacy-aware Storing and Searching in the Cloud,"
                        Fabian Wiedemann, Martin Gaedke
                    ",Web Engineering
"A Distributed Search Framework for Full-Text, Geo-Spatial and Semantic Search","
                        Andreas Both, Axel-Cyrille Ngonga Ngomo, Ricardo Usbeck, Christiane Lemke, Denis Lukovnikov, Maximilian Speicher
                    ",Web Engineering
Efficient Development of Progressively Enhanced Web Applications by  Sharing Presentation and Business Logic Between Server and Client,"
                        Markus Ast, Stefan Wild, Martin Gaedke
                    ",Web Engineering
Using Linked Data for Modeling Secure Distributed Web Applications and Services,"
                        Falko Braune, Stefan Wild, Martin Gaedke
                    ",Web Engineering
Building Bridges between Diverse Identity Concepts Using WebID,"
                        Michel Rienäcker, Stefan Wild, Martin Gaedke
                    ",Web Engineering
Tamper-Evident User Profiles for WebID-Based Social Networks,"
                        Stefan Wild, Falko Braune, Dominik Pretzsch, Michel Rienäcker, Martin Gaedke
                    ",Web Engineering
Towards Real-Time Collaboration in User Interface Mashups,"
                        Alexey Tschudnowsky, Michael Hertel, Fabian Wiedemann, Martin Gaedke
                    ",Web Engineering
"An extensible, Model-Driven and end-user centric approach for API building","
                        José Matías Rivero, Sebastian Heil, Julián Grigera, Esteban Robles Luna, Martin Gaedke
                    ",Web Engineering
CRAWL•E: Distributed Skill Endorsements in Expert Finding,"
                        Sebastian Heil, Stefan Wild, Martin Gaedke
                    ",Web Engineering
Utilizing Architecture Models for Secure Distributed Web Applications and Services,"
                        Stefan Wild, Martin Gaedke
                    ",Intelligent Information Management
StreamMyRelevance! Prediction of Result Relevance from Real-Time Interactions and its Application to Hotel Search,"
                        Maximilian Speicher, Sebastian Nuck, Andreas Both, Martin Gaedke
                    ",Web Engineering
Ensuring Web Interface Quality through Usability-based Split Testing,"
                        Maximilian Speicher, Andreas Both, Martin Gaedke
                    ",Web Engineering
WaPPU: Usability-based A/B Testing,"
                        Maximilian Speicher, Andreas Both, Martin Gaedke
                    ",Web Engineering
Paving the Path to Content-centric and Device-agnostic Web Design,"
                        Maximilian Speicher
                    ",Web Engineering
From Choreographed to Hybrid User Interface Mashups: A Generic Transformation Approach,"
                        Alexey Tschudnowsky, Stefan Pietschmann, Matthias Niederhausen, Michael Hertel, Martin Gaedke
                    ",Web Engineering
Collaborative Adaptive Case Management with Linked Data,"
                        Sebastian Heil, Stefan Wild, Martin Gaedke
                    ",Web Engineering
SmartComposition: A Component-Based Approach for Creating Multi-Screen Mashups,"
                        Michael Krug, Fabian Wiedemann, Martin Gaedke
                    ",Web Engineering
Easing Access for Novice Users in Multi-Screen Mashups by Rule-based Adaption,"
                        Philipp Oehme, Fabian Wiedemann, Michael Krug, Martin Gaedke
                    ",Web Engineering
Towards Awareness and Control in Choreographed User Interface Mashups,"
                        Alexey Tschudnowsky, Stefan Pietschmann, Matthias Niederhausen, Martin Gaedke
                    ",Web Engineering
Enhancing Media Enrichment by Semantic Extraction,"
                        Michael Krug, Fabian Wiedemann, Martin Gaedke
                    ",Web Engineering
Toward Collaborative Software Engineering Leveraging the Crowd,"
                        Benjamin Satzger, Rostyslav Zabolotnyi, Schahram Dustdar, Stefan Wild, Martin Gaedke, Steffen Goebel, Tobias Nestler
                    ",Intelligent Information Management
Enriching Single-User Web Applications Non-Invasively with Shared Editing Support,"
                        Matthias Heinrich, Franz Lehmann, Franz Josef Grüneberger, Martin Gaedke, Thomas Springer, Alexander Schill
                    ",Web Engineering
TellMyRelevance! Predicting the Relevance of Web Search Results from Cursor Interactions,"
                        Maximilian Speicher, Andreas Both, Martin Gaedke
                    ",Web Engineering
Towards Metric-based Usability Evaluation of Online Web Interfaces,"
                        Maximilian Speicher, Andreas Both, Martin Gaedke
                    ",Web Engineering
Was that Webpage Pleasant to Use? Predicting Usability Quantitatively from Interactions,"
                        Maximilian Speicher, Andreas Both, Martin Gaedke
                    ",Web Engineering
Investigating Quality Raters' Performance Using Interface Evaluation Methods,"
                        Michael Röder, Maximilian Speicher, Ricardo Usbeck
                    ",Web Engineering
MockAPI: An Agile Approach Supporting API-first Web Application Development,"
                        José Matías Rivero, Sebastian Heil, Julián Grigera, Martin Gaedke, Gustavo Rossi
                    ",Web Engineering
Media Enrichment on Distributed Displays by Selective Information Presentation: A First Prototype,"
                        Michael Krug, Fabian Wiedemann, Martin Gaedke
                    ",Web Engineering
GAwI: A Comprehensive Workspace Awareness Library for Collaborative Web Applications,"
                        Matthias Heinrich, Franz Josef Grüneberger, Thomas Springer, Philipp Hauer, Martin Gaedke
                    ",Web Engineering
Protecting User Profile Data in WebID-based Social Networks Through Fine-grained Filtering,"
                        Stefan Wild, Alexey Tschudnowsky, Sebastian Heil, Martin Gaedke
                    ",Intelligent Information Management
"The SWAC Approach for Sharing a Web Application""s Codebase between Server and Client","
                        Markus Ast, Stefan Wild, Martin Gaedke
                    ",Web Engineering
